渠道自然,国家,日期,平台,新老,_window,_query,活跃用户数,次日留存人数
整体,突尼斯,2026-07-27,整体,整体,recent_8w,全量维度,476.57142857142856,155.85714285714286
整体,马拉维,2026-07-27,整体,New,recent_8w,全量维度,5.571428571428571,1.8571428571428572
整体,瓦努阿图,2026-06-29,整体,Old,recent_8w,全量维度,4.285714285714286,1.7142857142857142
整体,法属波利尼西亚,2026-06-29,iOS,Old,recent_8w,全量维度,11.142857142857142,4.0
整体,圣文森特和格林纳丁斯,2026-07-06,iOS,Old,recent_8w,全量维度,18.714285714285715,8.571428571428571
整体,瓜德罗普,2026-07-06,iOS,Old,recent_8w,全量维度,8.285714285714286,3.2857142857142856
整体,瓜德罗普,2026-07-13,iOS,整体,recent_8w,全量维度,10.0,3.7142857142857144
整体,斯威士兰,2026-07-20,Android,整体,recent_8w,全量维度,5.333333333333333,1.8333333333333333
整体,瓜德罗普,2026-06-08,iOS,Old,recent_8w,全量维度,8.142857142857142,2.857142857142857
整体,赤道几内亚,2026-07-13,Android,整体,recent_8w,全量维度,4.285714285714286,0.14285714285714285
整体,圣文森特和格林纳丁斯,2026-07-06,整体,New,recent_8w,全量维度,1.6,0.4
整体,立陶宛,2026-06-22,iOS,Old,recent_8w,全量维度,853.2857142857143,295.7142857142857
整体,突尼斯,2026-07-20,Android,整体,recent_8w,全量维度,188.57142857142858,58.42857142857143
整体,莱索托,2026-06-29,iOS,New,recent_8w,全量维度,1.0,0.0
整体,莱索托,2026-06-22,整体,New,recent_8w,全量维度,1.0,0.0
整体,法属波利尼西亚,2026-07-13,iOS,Old,recent_8w,全量维度,12.428571428571429,6.0
整体,伯利兹,2026-07-27,iOS,Old,recent_8w,全量维度,43.57142857142857,11.0
整体,马提尼克岛,2026-06-08,iOS,整体,recent_8w,全量维度,4.0,0.8571428571428571
整体,圣文森特和格林纳丁斯,2026-06-15,Android,Old,recent_8w,全量维度,3.5714285714285716,0.5714285714285714
整体,卢森堡,2026-06-29,整体,整体,recent_8w,全量维度,136.42857142857142,46.42857142857143
整体,伯利兹,2026-06-29,Android,New,recent_8w,全量维度,1.4,0.0
整体,马拉维,2026-06-29,整体,Old,recent_8w,全量维度,102.0,33.57142857142857
整体,瓦努阿图,2026-07-13,iOS,Old,recent_8w,全量维度,3.2857142857142856,0.8571428571428571
整体,突尼斯,2026-07-13,整体,整体,recent_8w,全量维度,436.2857142857143,132.14285714285714
整体,突尼斯,2026-06-08,Android,整体,recent_8w,全量维度,177.28571428571428,57.142857142857146
整体,法属波利尼西亚,2026-06-15,iOS,整体,recent_8w,全量维度,10.142857142857142,2.7142857142857144
整体,毛里求斯,2026-07-27,整体,New,recent_8w,全量维度,4.285714285714286,0.5714285714285714
整体,斯威士兰,2026-07-06,整体,New,recent_8w,全量维度,1.3333333333333333,0.6666666666666666
整体,不丹,2026-07-20,Android,整体,recent_8w,全量维度,2.0,0.0
整体,圣马力诺,2026-07-06,Android,Old,recent_8w,全量维度,1.0,0.0
整体,马拉维,2026-07-27,整体,Old,recent_8w,全量维度,114.14285714285714,39.714285714285715
整体,百慕大,2026-06-08,iOS,Old,recent_8w,全量维度,28.857142857142858,11.142857142857142
整体,安圭拉,2026-07-27,整体,Old,recent_8w,全量维度,8.142857142857142,4.142857142857143
整体,塞舌尔,2026-07-20,整体,New,recent_8w,全量维度,2.857142857142857,0.5714285714285714
整体,塞舌尔,2026-07-13,Android,New,recent_8w,全量维度,1.0,0.0
整体,直布罗陀,2026-07-27,iOS,Old,recent_8w,全量维度,26.571428571428573,9.142857142857142
整体,赤道几内亚,2026-07-20,iOS,New,recent_8w,全量维度,1.0,0.75
整体,安圭拉,2026-07-13,整体,整体,recent_8w,全量维度,8.714285714285714,4.142857142857143
整体,突尼斯,2026-06-08,Android,Old,recent_8w,全量维度,166.57142857142858,56.0
整体,圣马力诺,2026-07-06,iOS,New,recent_8w,全量维度,1.0,0.0
整体,法属波利尼西亚,2026-06-22,整体,整体,recent_8w,全量维度,14.142857142857142,4.428571428571429
整体,圣文森特和格林纳丁斯,2026-07-27,整体,整体,recent_8w,全量维度,15.285714285714286,6.142857142857143
整体,牙买加,2026-06-29,iOS,整体,recent_8w,全量维度,382.7142857142857,124.71428571428571
整体,牙买加,2026-06-15,整体,Old,recent_8w,全量维度,409.7142857142857,135.71428571428572
整体,瓜德罗普,2026-07-20,整体,整体,recent_8w,全量维度,13.285714285714286,4.714285714285714
整体,英属维尔京群岛,2026-07-06,整体,New,recent_8w,全量维度,1.25,0.5
整体,不丹,2026-06-15,整体,整体,recent_8w,全量维度,4.714285714285714,0.5714285714285714
整体,牙买加,2026-07-13,iOS,整体,recent_8w,全量维度,367.57142857142856,127.71428571428571
整体,直布罗陀,2026-07-27,整体,Old,recent_8w,全量维度,29.571428571428573,10.428571428571429
整体,毛里求斯,2026-07-06,Android,Old,recent_8w,全量维度,39.285714285714285,14.0
整体,所罗门群岛,2026-07-06,iOS,整体,recent_8w,全量维度,2.142857142857143,0.5714285714285714
整体,卢森堡,2026-07-27,Android,整体,recent_8w,全量维度,24.714285714285715,10.285714285714286
