渠道自然,国家,日期,平台,新老,付费状态,版本,一级功能,二级功能,_window,_query,保存 UV
整体,整体,2026-07-20,整体,整体,整体,整体,图片编辑,Tan Flash,recent_8w,图片编辑二级功能,0.0
整体,巴西,2026-07-27,整体,整体,整体,整体,图片编辑,Neckwidth,recent_8w,图片编辑二级功能,1.0
整体,英国,2026-07-13,整体,整体,整体,整体,图片编辑,Horizontal,recent_8w,图片编辑二级功能,1.0
整体,整体,2026-07-20,整体,整体,整体,整体,图片编辑,Breastcollarbone,recent_8w,图片编辑二级功能,1.0
整体,整体,2026-07-27,整体,整体,整体,整体,图片编辑,Stamp,recent_8w,图片编辑二级功能,1856.0
整体,美国,2026-06-08,整体,整体,整体,整体,图片编辑,Lips,recent_8w,图片编辑二级功能,0.42857142857142855
整体,美国,2026-06-15,整体,整体,整体,整体,图片编辑,Teeth,recent_8w,图片编辑二级功能,9356.57142857143
整体,英国,2026-07-06,整体,整体,整体,整体,图片编辑,Hairdye Finetune,recent_8w,图片编辑二级功能,0.0
整体,整体,2026-07-06,整体,整体,整体,整体,图片编辑,Select Area,recent_8w,图片编辑二级功能,417.14285714285717
整体,巴西,2026-06-22,整体,整体,整体,整体,图片编辑,Acne,recent_8w,图片编辑二级功能,34088.0
整体,美国,2026-06-15,整体,整体,整体,整体,图片编辑,Acne,recent_8w,图片编辑二级功能,11590.714285714286
整体,巴西,2026-07-27,整体,整体,整体,整体,图片编辑,Eye lashes,recent_8w,图片编辑二级功能,0.0
整体,巴西,2026-07-20,整体,整体,整体,整体,图片编辑,Stamp,recent_8w,图片编辑二级功能,375.57142857142856
整体,美国,2026-06-29,整体,整体,整体,整体,图片编辑,Slim,recent_8w,图片编辑二级功能,2.2857142857142856
整体,英国,2026-07-20,整体,整体,整体,整体,图片编辑,Breast,recent_8w,图片编辑二级功能,1.0
整体,英国,2026-07-20,整体,整体,整体,整体,图片编辑,Bokeh,recent_8w,图片编辑二级功能,239.0
整体,巴西,2026-07-13,整体,整体,整体,整体,图片编辑,Skin Tone,recent_8w,图片编辑二级功能,12509.857142857143
整体,美国,2026-07-06,整体,整体,整体,整体,图片编辑,Eye Brighten,recent_8w,图片编辑二级功能,2877.0
整体,英国,2026-07-20,整体,整体,整体,整体,图片编辑,Hairdye Finetune,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-07-20,整体,整体,整体,整体,图片编辑,Hair,recent_8w,图片编辑二级功能,1173.0
整体,巴西,2026-07-06,整体,整体,整体,整体,图片编辑,Stains,recent_8w,图片编辑二级功能,24.142857142857142
整体,英国,2026-06-08,整体,整体,整体,整体,图片编辑,Effects,recent_8w,图片编辑二级功能,16.142857142857142
整体,英国,2026-06-08,整体,整体,整体,整体,图片编辑,Sun-kissed,recent_8w,图片编辑二级功能,0.0
整体,巴西,2026-06-08,整体,整体,整体,整体,图片编辑,Hairdye Finetune,recent_8w,图片编辑二级功能,0.0
整体,整体,2026-07-27,整体,整体,整体,整体,图片编辑,Vertical,recent_8w,图片编辑二级功能,32.285714285714285
整体,整体,2026-06-22,整体,整体,整体,整体,图片编辑,Filters,recent_8w,图片编辑二级功能,72215.42857142857
整体,整体,2026-07-27,整体,整体,整体,整体,图片编辑,Magic,recent_8w,图片编辑二级功能,101770.57142857143
整体,美国,2026-06-29,整体,整体,整体,整体,图片编辑,Eyebrows,recent_8w,图片编辑二级功能,1.4285714285714286
整体,巴西,2026-06-29,整体,整体,整体,整体,图片编辑,Stains,recent_8w,图片编辑二级功能,26.714285714285715
整体,美国,2026-06-22,整体,整体,整体,整体,图片编辑,Tanned,recent_8w,图片编辑二级功能,0.0
整体,美国,2026-06-22,整体,整体,整体,整体,图片编辑,Hair Enrich,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-07-06,整体,整体,整体,整体,图片编辑,Dark Circles,recent_8w,图片编辑二级功能,1600.857142857143
整体,整体,2026-06-29,整体,整体,整体,整体,图片编辑,Select Area,recent_8w,图片编辑二级功能,412.85714285714283
整体,巴西,2026-07-20,整体,整体,整体,整体,图片编辑,Beautymagic,recent_8w,图片编辑二级功能,71.28571428571429
整体,整体,2026-06-22,整体,整体,整体,整体,图片编辑,Magic,recent_8w,图片编辑二级功能,107035.85714285714
整体,整体,2026-07-13,整体,整体,整体,整体,图片编辑,Eye Color,recent_8w,图片编辑二级功能,0.0
整体,美国,2026-06-08,整体,整体,整体,整体,图片编辑,Expression,recent_8w,图片编辑二级功能,418.57142857142856
整体,整体,2026-06-15,整体,整体,整体,整体,图片编辑,Crop,recent_8w,图片编辑二级功能,46310.57142857143
整体,英国,2026-06-15,整体,整体,整体,整体,图片编辑,Natural tan,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-07-13,整体,整体,整体,整体,图片编辑,AI Repair,recent_8w,图片编辑二级功能,515.7142857142857
整体,英国,2026-07-13,整体,整体,整体,整体,图片编辑,Effects,recent_8w,图片编辑二级功能,16.142857142857142
整体,整体,2026-07-13,整体,整体,整体,整体,图片编辑,Soft Glow,recent_8w,图片编辑二级功能,0.0
整体,整体,2026-06-22,整体,整体,整体,整体,图片编辑,Freckles,recent_8w,图片编辑二级功能,0.0
整体,巴西,2026-06-29,整体,整体,整体,整体,图片编辑,Resize,recent_8w,图片编辑二级功能,13672.0
整体,巴西,2026-07-13,整体,整体,整体,整体,图片编辑,Details,recent_8w,图片编辑二级功能,1334.7142857142858
整体,美国,2026-06-08,整体,整体,整体,整体,图片编辑,Whiten,recent_8w,图片编辑二级功能,0.2857142857142857
整体,巴西,2026-07-27,整体,整体,整体,整体,图片编辑,Wrinkle,recent_8w,图片编辑二级功能,5212.0
整体,英国,2026-06-22,整体,整体,整体,整体,图片编辑,Hairdye Finetune,recent_8w,图片编辑二级功能,0.0
整体,美国,2026-07-27,整体,整体,整体,整体,图片编辑,Select Area,recent_8w,图片编辑二级功能,121.28571428571429
整体,整体,2026-06-22,整体,整体,整体,整体,图片编辑,Hair Dye,recent_8w,图片编辑二级功能,0.7142857142857143
整体,整体,2026-06-15,整体,整体,整体,整体,图片编辑,Text,recent_8w,图片编辑二级功能,1575.857142857143
整体,整体,2026-07-20,整体,整体,整体,整体,图片编辑,Hair,recent_8w,图片编辑二级功能,21023.285714285714
整体,整体,2026-06-22,整体,整体,整体,整体,图片编辑,Clean Skin,recent_8w,图片编辑二级功能,0.5
整体,整体,2026-07-20,整体,整体,整体,整体,图片编辑,Preset,recent_8w,图片编辑二级功能,4318.857142857143
整体,巴西,2026-06-29,整体,整体,整体,整体,图片编辑,Contour,recent_8w,图片编辑二级功能,1485.2857142857142
整体,巴西,2026-07-27,整体,整体,整体,整体,图片编辑,Contour,recent_8w,图片编辑二级功能,1366.5714285714287
整体,美国,2026-06-29,整体,整体,整体,整体,图片编辑,Effects,recent_8w,图片编辑二级功能,104.42857142857143
整体,巴西,2026-06-08,整体,整体,整体,整体,图片编辑,Magic,recent_8w,图片编辑二级功能,42929.71428571428
整体,巴西,2026-06-29,整体,整体,整体,整体,图片编辑,Soft glow,recent_8w,图片编辑二级功能,0.0
整体,整体,2026-07-06,整体,整体,整体,整体,图片编辑,Filters,recent_8w,图片编辑二级功能,70255.57142857143
整体,整体,2026-06-29,整体,整体,整体,整体,图片编辑,Arm,recent_8w,图片编辑二级功能,7.714285714285714
整体,整体,2026-06-15,整体,整体,整体,整体,图片编辑,Expression,recent_8w,图片编辑二级功能,2027.5714285714287
整体,美国,2026-06-22,整体,整体,整体,整体,图片编辑,Matte,recent_8w,图片编辑二级功能,1042.0
整体,整体,2026-07-06,整体,整体,整体,整体,图片编辑,Length,recent_8w,图片编辑二级功能,1.0
整体,英国,2026-06-22,整体,整体,整体,整体,图片编辑,Eraser,recent_8w,图片编辑二级功能,2466.75
整体,美国,2026-06-15,整体,整体,整体,整体,图片编辑,Skin,recent_8w,图片编辑二级功能,0.0
整体,整体,2026-07-06,整体,整体,整体,整体,图片编辑,Neckwidth,recent_8w,图片编辑二级功能,2.0
整体,英国,2026-06-08,整体,整体,整体,整体,图片编辑,Reshape,recent_8w,图片编辑二级功能,4452.571428571428
整体,整体,2026-06-29,整体,整体,整体,整体,图片编辑,Eye Color,recent_8w,图片编辑二级功能,0.0
整体,美国,2026-07-27,整体,整体,整体,整体,图片编辑,Rembrandt,recent_8w,图片编辑二级功能,0.0
整体,巴西,2026-06-29,整体,整体,整体,整体,图片编辑,Horizontal,recent_8w,图片编辑二级功能,2.0
