渠道自然,国家,日期,平台,DNU,_window,_query
Organic,法国,2026-06-15T00:00:00,整体,309.2857142857143,recent_8w,全量维度
整体,意大利,2026-07-06T00:00:00,Android,79.28571428571429,recent_8w,全量维度
Organic,法国,2026-07-06T00:00:00,iOS,273.42857142857144,recent_8w,全量维度
Organic,法国,2026-07-13T00:00:00,整体,347.14285714285717,recent_8w,全量维度
整体,斐济,2026-06-22T00:00:00,整体,1.8333333333333333,recent_8w,全量维度
non-Organic,爱沙尼亚,2026-06-29T00:00:00,整体,2.2857142857142856,recent_8w,全量维度
整体,unknow,2026-07-20T00:00:00,整体,2.0,recent_8w,全量维度
non-Organic,葡萄牙,2026-06-08T00:00:00,Android,4.142857142857143,recent_8w,全量维度
Organic,伊朗,2026-06-29T00:00:00,整体,1730.142857142857,recent_8w,全量维度
non-Organic,法国,2026-06-08T00:00:00,iOS,49.857142857142854,recent_8w,全量维度
non-Organic,萨尔瓦多,2026-06-15T00:00:00,iOS,1.25,recent_8w,全量维度
Organic,葡萄牙,2026-06-15T00:00:00,整体,174.28571428571428,recent_8w,全量维度
Organic,unknow,2026-07-06T00:00:00,Android,2.0,recent_8w,全量维度
整体,玻利维亚,2026-07-06T00:00:00,iOS,9.857142857142858,recent_8w,全量维度
Organic,捷克,2026-07-20T00:00:00,Android,8.285714285714286,recent_8w,全量维度
non-Organic,法国,2026-07-27T00:00:00,整体,388.2857142857143,recent_8w,全量维度
整体,斐济,2026-06-22T00:00:00,iOS,1.4,recent_8w,全量维度
整体,伊朗,2026-06-22T00:00:00,整体,1322.4285714285713,recent_8w,全量维度
整体,巴基斯坦,2026-07-27T00:00:00,iOS,60.142857142857146,recent_8w,全量维度
Organic,关岛,2026-06-15T00:00:00,iOS,2.0,recent_8w,全量维度
Organic,斐济,2026-06-29T00:00:00,iOS,1.6666666666666667,recent_8w,全量维度
Organic,萨尔瓦多,2026-06-08T00:00:00,整体,10.428571428571429,recent_8w,全量维度
整体,比利时,2026-07-13T00:00:00,iOS,49.142857142857146,recent_8w,全量维度
Organic,爱沙尼亚,2026-07-27T00:00:00,iOS,48.714285714285715,recent_8w,全量维度
Organic,萨尔瓦多,2026-07-13T00:00:00,iOS,7.285714285714286,recent_8w,全量维度
non-Organic,坦桑尼亚,2026-06-08T00:00:00,整体,1.6666666666666667,recent_8w,全量维度
Organic,伊朗,2026-07-06T00:00:00,整体,1071.0,recent_8w,全量维度
Organic,墨西哥,2026-07-20T00:00:00,iOS,678.2857142857143,recent_8w,全量维度
Organic,加拿大,2026-07-27T00:00:00,iOS,428.2857142857143,recent_8w,全量维度
non-Organic,利比里亚,2026-07-27T00:00:00,整体,1.0,recent_8w,全量维度
整体,巴基斯坦,2026-07-06T00:00:00,整体,332.0,recent_8w,全量维度
Organic,斯洛伐克,2026-07-20T00:00:00,整体,21.857142857142858,recent_8w,全量维度
整体,南非,2026-07-20T00:00:00,整体,84.57142857142857,recent_8w,全量维度
Organic,卡塔尔,2026-06-22T00:00:00,iOS,10.142857142857142,recent_8w,全量维度
non-Organic,坦桑尼亚,2026-06-29T00:00:00,Android,1.5,recent_8w,全量维度
Organic,法国,2026-07-20T00:00:00,整体,496.14285714285717,recent_8w,全量维度
Organic,巴基斯坦,2026-07-20T00:00:00,整体,219.28571428571428,recent_8w,全量维度
non-Organic,巴基斯坦,2026-06-29T00:00:00,整体,6.142857142857143,recent_8w,全量维度
non-Organic,乌克兰,2026-06-15T00:00:00,整体,21.857142857142858,recent_8w,全量维度
整体,澳门,2026-06-15T00:00:00,iOS,1.0,recent_8w,全量维度
non-Organic,法国,2026-06-22T00:00:00,整体,47.857142857142854,recent_8w,全量维度
non-Organic,葡萄牙,2026-06-15T00:00:00,iOS,4.714285714285714,recent_8w,全量维度
