层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.1.根西岛,根西岛 DNU,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,-100.0,-1.0,-0.601375,-0.002365
1.1.格林纳达,格林纳达 DNU,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.601375,0.002365
1.1.格陵兰,格陵兰 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0
1.1.格鲁吉亚,格鲁吉亚 DNU,2.285714,2.285714,3.285714,3.285714,2.166667,2.428571,2.4,3.0,0.0,0.0,0.0,0.0,0.0
1.1.比利时,比利时 DNU,3.5,3.142857,3.166667,2.666667,3.571429,3.142857,4.0,2.142857,0.357143,11.363636,0.357143,0.214777,0.000845
1.1.毛里塔尼亚,毛里塔尼亚 DNU,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.601375,0.002365
1.1.毛里求斯,毛里求斯 DNU,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,-1.0,-100.0,-1.0,-0.601375,-0.002365
1.1.汤加,汤加 DNU,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.601375,0.002365
1.1.沙特阿拉伯,沙特阿拉伯 DNU,3.333333,2.714286,3.142857,4.285714,6.333333,4.714286,6.857143,4.571429,0.619048,22.807018,0.619048,0.37228,0.001464
1.1.法国,法国 DNU,47.857143,58.571429,62.428571,66.571429,48.857143,36.857143,50.571429,53.714286,-10.714286,-18.292683,-10.714286,-6.443299,-0.025343
1.1.法属圣马丁,法属圣马丁 DNU,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.法属圭亚那,法属圭亚那 DNU,0.0,1.0,1.0,1.333333,1.0,1.0,1.0,0.0,-1.0,-100.0,-1.0,-0.601375,-0.002365
1.1.法属波利尼西亚,法属波利尼西亚 DNU,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.601375,0.002365
1.1.法罗群岛,法罗群岛 DNU,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.波兰,波兰 DNU,9.857143,6.571429,8.142857,9.857143,9.714286,8.285714,10.714286,10.285714,3.285714,50.0,3.285714,1.975945,0.007772
1.1.波多黎各,波多黎各 DNU,2.571429,2.857143,2.166667,3.142857,2.428571,3.75,2.714286,2.5,-0.285714,-10.0,-0.285714,-0.171821,-0.000676
1.1.波黑,波黑 DNU,1.5,1.5,1.333333,1.333333,1.5,2.0,1.5,1.2,0.0,0.0,0.0,0.0,0.0
1.1.泰国,泰国 DNU,2.166667,1.5,1.428571,1.833333,2.2,3.142857,3.428571,2.571429,0.666667,44.444444,0.666667,0.400917,0.001577
1.1.泽西岛,泽西岛 DNU,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,1.0,0.601375,0.002365
1.1.津巴布韦,津巴布韦 DNU,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,0.601375,0.002365
1.1.洪都拉斯,洪都拉斯 DNU,1.833333,1.6,2.2,1.25,2.0,2.166667,2.166667,2.428571,0.233333,14.583333,0.233333,0.140321,0.000552
1.1.海地,海地 DNU,2.0,2.2,1.0,1.25,1.0,1.333333,2.142857,3.571429,-0.2,-9.090909,-0.2,-0.120275,-0.000473
1.1.澳大利亚,澳大利亚 DNU,165.0,170.857143,277.857143,335.714286,80.142857,76.714286,109.285714,132.0,-5.857143,-3.428094,-5.857143,-3.522337,-0.013854
1.1.爱尔兰,爱尔兰 DNU,3.285714,4.857143,3.0,3.666667,3.666667,3.428571,3.857143,4.5,-1.571429,-32.352941,-1.571429,-0.945017,-0.003717
1.1.爱沙尼亚,爱沙尼亚 DNU,2.6,2.0,1.4,1.833333,1.6,1.833333,1.833333,1.5,0.6,30.0,0.6,0.360825,0.001419
1.1.牙买加,牙买加 DNU,2.0,1.25,1.333333,1.333333,1.6,1.0,1.666667,1.75,0.75,60.0,0.75,0.451031,0.001774
1.1.特克斯和凯科斯群岛,特克斯和凯科斯群岛 DNU,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.特立尼达和多巴哥,特立尼达和多巴哥 DNU,1.75,1.0,1.0,2.0,1.5,1.0,1.0,1.25,0.75,75.0,0.75,0.451031,0.001774
1.1.玻利维亚,玻利维亚 DNU,2.714286,2.428571,3.428571,4.333333,3.4,3.0,3.285714,5.0,0.285714,11.764706,0.285714,0.171821,0.000676
1.1.瑙鲁,瑙鲁 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.瑞典,瑞典 DNU,15.714286,15.0,5.142857,4.285714,4.285714,3.166667,3.285714,3.142857,0.714286,4.761905,0.714286,0.429553,0.00169
1.1.瑞士,瑞士 DNU,5.571429,5.428571,4.285714,4.857143,3.428571,5.714286,4.428571,3.571429,0.142857,2.631579,0.142857,0.085911,0.000338
1.1.瓜德罗普,瓜德罗普 DNU,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.瓦利斯和富图纳群岛,瓦利斯和富图纳群岛 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.瓦努阿图,瓦努阿图 DNU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0
