层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
2.2.瓦努阿图,瓦努阿图 新增UV,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,100.0,1.42598e-05,-20.371116,0.009979
2.2.留尼汪岛,留尼汪岛 新增UV,2.285714,2.4,2.285714,2.4,1.75,2.166667,1.857143,2.857143,-0.114286,-4.761905,2.328e-07,-0.332616,0.000163
2.2.白俄罗斯,白俄罗斯 新增UV,179.0,102.0,221.571429,156.714286,274.714286,227.428571,81.142857,82.0,77.0,75.490196,3.54428e-05,-50.632572,0.024804
2.2.百慕大,百慕大 新增UV,1.25,2.2,1.4,1.5,1.0,1.0,1.666667,1.666667,-0.95,-43.181818,3.2157e-06,-4.593827,0.00225
2.2.直布罗陀,直布罗陀 新增UV,1.5,1.0,1.0,1.0,1.25,1.25,1.5,1.4,0.5,50.0,2.84e-07,-0.405645,0.000199
2.2.福克兰群岛,福克兰群岛 新增UV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
2.2.科威特,科威特 新增UV,16.857143,13.285714,17.285714,19.714286,23.714286,20.142857,18.285714,21.142857,3.571429,26.88172,1.406e-07,-0.200889,9.8e-05
2.2.科摩罗,科摩罗 新增UV,1.333333,1.0,1.5,1.666667,1.666667,2.5,2.0,1.166667,0.333333,33.333333,-1.1049e-06,1.578471,-0.000773
2.2.科特迪瓦,科特迪瓦 新增UV,35.714286,36.428571,70.285714,59.857143,56.142857,68.428571,67.142857,68.285714,-0.714286,-1.960784,-6.794e-07,0.970638,-0.000475
2.2.科索沃,科索沃 新增UV,11.857143,8.285714,10.285714,17.428571,12.428571,10.0,13.285714,21.0,3.571429,43.103448,-2.8297e-06,4.042367,-0.00198
2.2.秘鲁,秘鲁 新增UV,80.857143,80.285714,76.285714,80.0,77.142857,89.0,103.714286,96.571429,0.571429,0.711744,2.492e-07,-0.356008,0.000174
2.2.突尼斯,突尼斯 新增UV,31.142857,33.571429,27.142857,33.142857,34.285714,32.142857,33.857143,29.0,-2.428571,-7.234043,-1.0967e-06,1.566675,-0.000767
2.2.立陶宛,立陶宛 新增UV,54.428571,48.714286,60.285714,50.857143,45.714286,37.857143,27.857143,35.0,5.714286,11.730205,5.0395e-06,-7.199231,0.003527
2.2.索马里,索马里 新增UV,12.428571,13.142857,12.0,11.571429,18.285714,11.428571,9.714286,13.0,-0.714286,-5.434783,-3.347e-07,0.478193,-0.000234
2.2.约旦,约旦 新增UV,27.428571,25.857143,32.428571,30.142857,42.0,32.571429,41.142857,45.142857,1.571429,6.077348,1.198e-07,-0.171209,8.4e-05
2.2.纳米比亚,纳米比亚 新增UV,3.0,2.25,3.833333,1.8,2.571429,5.0,3.428571,3.857143,0.75,33.333333,8.4e-07,-1.199986,0.000588
2.2.缅甸,缅甸 新增UV,13.142857,13.857143,14.714286,21.0,19.571429,20.285714,26.142857,18.857143,-0.714286,-5.154639,1.93e-08,-0.027635,1.4e-05
2.2.罗马尼亚,罗马尼亚 新增UV,114.571429,114.285714,112.571429,138.142857,115.285714,124.285714,108.571429,122.0,0.285714,0.25,-4.72e-08,0.067484,-3.3e-05
2.2.美国,美国 新增UV,3828.428571,3632.571429,3560.428571,4234.571429,4512.285714,3922.857143,3504.285714,3329.714286,195.857143,5.391694,2.9646e-06,-4.23511,0.002075
2.2.美属维尔京群岛,美属维尔京群岛 新增UV,2.6,2.0,1.8,1.833333,2.0,1.25,1.5,1.8,0.6,30.0,3.3795e-06,-4.827914,0.002365
2.2.老挝,老挝 新增UV,2.0,1.666667,1.666667,1.8,1.4,1.5,2.166667,1.8,0.333333,20.0,1.791e-06,-2.558603,0.001253
2.2.肯尼亚,肯尼亚 新增UV,27.714286,31.571429,28.285714,28.714286,35.142857,42.285714,45.285714,41.857143,-3.857143,-12.217195,-5.9859e-06,8.55129,-0.004189
2.2.芬兰,芬兰 新增UV,128.571429,130.571429,152.571429,118.0,114.428571,76.285714,56.0,66.428571,-2.0,-1.531729,-2.4258e-06,3.465366,-0.001698
2.2.苏丹,苏丹 新增UV,5.714286,5.0,4.285714,6.0,7.857143,10.714286,16.571429,9.285714,0.714286,14.285714,-1.1026e-06,1.575126,-0.000772
2.2.苏里南,苏里南 新增UV,2.0,2.25,2.333333,3.666667,3.4,1.857143,2.428571,2.666667,-0.25,-11.111111,-8.742e-07,1.248848,-0.000612
2.2.英国,英国 新增UV,1264.428571,1223.142857,1285.285714,1411.714286,1653.285714,989.0,872.285714,969.857143,41.285714,3.37538,2.8024e-06,-4.003435,0.001961
2.2.英属维尔京群岛,英属维尔京群岛 新增UV,0.0,1.0,1.5,1.0,1.333333,2.0,1.6,1.25,-1.0,-100.0,,,
2.2.荷兰,荷兰 新增UV,635.428571,733.142857,806.0,610.0,669.428571,495.142857,443.142857,504.857143,-97.714286,-13.328137,-0.0001229467,175.638127,-0.086042
2.2.荷兰加勒比,荷兰加勒比 新增UV,0.0,1.333333,1.0,1.0,0.0,1.0,1.0,1.0,-1.333333,-100.0,,,
2.2.荷属圣马丁,荷属圣马丁 新增UV,1.333333,1.333333,1.25,1.5,1.333333,1.428571,1.4,1.333333,0.0,0.0,-7.51e-08,0.107253,-5.3e-05
2.2.荷属安的列斯,荷属安的列斯 新增UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2.2.莫桑比克,莫桑比克 新增UV,31.0,27.142857,28.428571,32.285714,34.714286,32.285714,33.428571,38.285714,3.857143,14.210526,6.558e-06,-9.368577,0.004589
2.2.莱索托,莱索托 新增UV,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,-33.333333,1.697e-06,-2.424252,0.001188
2.2.菲律宾,菲律宾 新增UV,259.0,287.142857,283.0,329.428571,366.857143,343.0,415.285714,406.428571,-28.142857,-9.800995,-2.46806e-05,35.258011,-0.017272
2.2.萨尔瓦多,萨尔瓦多 新增UV,13.428571,14.428571,10.428571,13.428571,12.571429,13.714286,16.0,15.0,-1.0,-6.930693,-2.5473e-06,3.63894,-0.001783
2.2.萨摩亚,萨摩亚 新增UV,1.0,1.0,1.0,0.0,1.0,1.0,1.333333,1.0,0.0,0.0,-7.95e-08,0.113536,-5.6e-05
2.2.葡萄牙,葡萄牙 新增UV,155.571429,174.285714,182.857143,201.0,164.285714,162.142857,146.428571,136.857143,-18.714286,-10.737705,-5.8578e-06,8.368315,-0.004099
2.2.蒙古,蒙古 新增UV,7.142857,6.285714,6.571429,6.571429,6.0,4.571429,6.857143,4.0,0.857143,13.636364,-1.2233e-06,1.747514,-0.000856
2.2.西班牙,西班牙 新增UV,403.857143,362.142857,347.857143,359.428571,374.857143,322.428571,315.857143,226.0,41.714286,11.518738,1.62902e-05,-23.271662,0.0114
2.2.贝宁,贝宁 新增UV,19.142857,18.857143,23.142857,24.714286,35.0,59.285714,41.0,64.714286,0.285714,1.515152,8.154e-07,-1.164848,0.000571
2.2.赞比亚,赞比亚 新增UV,9.285714,8.857143,6.428571,8.571429,7.714286,10.285714,13.285714,9.571429,0.428571,4.83871,1.064e-07,-0.152057,7.4e-05
2.2.赤道几内亚,赤道几内亚 新增UV,2.0,1.333333,1.5,1.4,1.0,2.0,1.0,1.5,0.666667,50.0,-2.707e-07,0.386739,-0.000189
2.2.越南,越南 新增UV,42.428571,38.857143,45.857143,41.285714,51.428571,42.142857,45.571429,39.285714,3.571429,9.191176,1.8212e-06,-2.601693,0.001275
2.2.阿塞拜疆,阿塞拜疆 新增UV,53.285714,45.714286,59.714286,66.428571,58.142857,46.857143,50.0,46.857143,7.571429,16.5625,-5.1847e-06,7.406651,-0.003628
2.2.阿富汗,阿富汗 新增UV,12.285714,10.142857,12.428571,15.142857,17.0,11.0,10.571429,11.714286,2.142857,21.126761,1.0117e-06,-1.445289,0.000708
2.2.阿尔及利亚,阿尔及利亚 新增UV,35.571429,35.714286,33.428571,35.0,43.571429,52.0,72.0,53.285714,-0.142857,-0.4,9.25e-08,-0.132154,6.5e-05
2.2.阿尔巴尼亚,阿尔巴尼亚 新增UV,81.714286,80.0,73.571429,84.142857,65.571429,57.428571,66.285714,144.571429,1.714286,2.142857,1.1855e-06,-1.69356,0.00083
2.2.阿曼,阿曼 新增UV,9.571429,9.285714,9.0,9.714286,23.285714,9.142857,10.142857,11.285714,0.285714,3.076923,3.909e-07,-0.558453,0.000274
2.2.阿根廷,阿根廷 新增UV,117.857143,108.428571,112.857143,110.142857,117.428571,131.285714,130.142857,127.142857,9.428571,8.695652,-2.1742e-06,3.10598,-0.001522
2.2.阿联酋,阿联酋 新增UV,55.142857,64.285714,68.285714,77.571429,96.857143,62.142857,66.0,69.714286,-9.142857,-14.222222,-2.3195e-06,3.313572,-0.001623
2.2.阿鲁巴,阿鲁巴 新增UV,2.714286,3.714286,3.166667,3.0,2.333333,2.142857,2.0,2.8,-1.0,-26.923077,8.871e-07,-1.267262,0.000621
2.2.韩国,韩国 新增UV,24.285714,26.857143,32.714286,30.714286,33.0,31.0,27.142857,33.285714,-2.571429,-9.574468,1.5595e-06,-2.227838,0.001091
2.2.马尔代夫,马尔代夫 新增UV,4.285714,4.142857,5.0,4.857143,5.428571,5.714286,5.0,6.142857,0.142857,3.448276,-3.251e-07,0.464488,-0.000228
2.2.马恩岛,马恩岛 新增UV,1.0,2.2,1.6,1.428571,1.4,1.666667,1.333333,1.571429,-1.2,-54.545455,4.0543e-06,-5.791817,0.002837
2.2.马拉维,马拉维 新增UV,4.0,6.571429,5.571429,5.428571,6.571429,7.142857,5.714286,5.666667,-2.571429,-39.130435,-1.75135e-05,25.019277,-0.012256
2.2.马提尼克岛,马提尼克岛 新增UV,1.5,1.0,1.0,1.666667,1.0,1.0,1.0,1.0,0.5,50.0,4.1798e-06,-5.971181,0.002925
2.2.马来西亚,马来西亚 新增UV,43.285714,44.857143,43.285714,106.857143,54.714286,46.285714,57.285714,49.0,-1.571429,-3.503185,-1.0684e-06,1.526333,-0.000748
2.2.马约特,马约特 新增UV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-100.0,,,
2.2.马绍尔群岛,马绍尔群岛 新增UV,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,-100.0,,,
