m.date_p,m.os_type,code,m.is_new,country,duration,sub_suc_cnt,paid_cnt,trial_cnt,dismiss_cnt,new_gmv,renew_gmv,after_paid_gmv
20260721,iOS,实验组B,Old,其他,分期年卡,1,1,0,0,4.67,0,0
20260722,iOS,实验组B,Old,其他,月,1,1,0,0,8.9,0,0
20260722,iOS,实验组B,Old,英国,年,5,3,2,1,93.56,0,0
20260724,iOS,对照组,New,英国,年,5,0,5,4,0.0,0,0
20260726,iOS,实验组B,Old,巴西,年,42,26,16,5,245.07,0,0
20260718,iOS,实验组A,New,巴西,月,1,1,0,1,3.21,0,0
20260719,iOS,实验组B,Old,其他,年,1,1,0,0,27.45,0,0
20260720,iOS,实验组A,Old,其他,年,1,0,1,1,0.0,0,0
20260720,iOS,对照组,Old,其他,月,3,3,0,0,29.26,0,0
20260726,iOS,实验组B,New,巴西,分期年卡,3,3,0,0,4.68,0,0
20260719,iOS,实验组B,Old,澳大利亚,月,3,3,0,2,26.64,0,0
20260720,iOS,实验组A,Old,澳大利亚,月,1,1,0,0,8.91,0,0
20260720,iOS,实验组B,New,英国,年,5,1,4,4,27.4,0,0
20260720,iOS,对照组,Old,其他,年,5,1,4,3,27.4,0,0
20260721,iOS,实验组B,Old,澳大利亚,分期年卡,1,1,0,0,4.46,0,0
20260723,iOS,实验组B,Old,巴西,周,1,1,0,1,1.55,0,0
20260724,iOS,实验组A,Old,巴西,分期年卡,12,12,0,0,18.83,0,0
20260724,iOS,实验组B,Old,巴西,月,20,20,0,3,63.5,0,0
20260717,iOS,实验组B,Old,其他,年,3,3,1,0,75.2,0,0
20260719,iOS,实验组B,Old,澳大利亚,年,4,4,0,0,123.94,0,0
20260720,iOS,实验组A,Old,澳大利亚,年,2,0,2,1,0.0,0,0
20260720,iOS,对照组,Old,澳大利亚,月,1,1,0,1,8.91,0,0
20260721,iOS,实验组A,New,英国,年,6,0,6,4,0.0,0,0
20260723,iOS,实验组A,Old,其他,年,3,0,3,0,0.0,0,0
20260723,iOS,对照组,Old,其他,月,3,3,0,1,25.45,0,0
20260725,iOS,实验组A,Old,其他,分期年卡,1,1,0,0,4.66,0,0
20260717,iOS,实验组A,Old,英国,分期年卡,2,2,0,0,9.4,0,0
20260717,iOS,实验组B,Old,英国,月,1,1,0,0,10.19,0,0
20260718,iOS,实验组B,Old,其他,分期年卡,1,1,0,0,4.7,0,0
20260720,iOS,对照组,Old,澳大利亚,年,2,1,1,1,28.09,0,0
20260721,iOS,对照组,New,英国,年,7,0,7,5,0.0,0,0
20260722,iOS,实验组A,Old,巴西,年,49,12,37,12,113.2,0,0
20260723,iOS,实验组B,New,其他,月,1,1,0,0,8.88,0,0
20260723,iOS,实验组B,New,英国,年,2,1,1,2,27.18,0,0
20260723,iOS,对照组,Old,其他,年,4,2,2,1,62.05,0,0
20260725,iOS,实验组B,Old,其他,年,3,2,1,0,55.19,0,0
20260726,iOS,实验组A,Old,英国,分期年卡,2,2,0,0,9.31,0,0
20260726,iOS,实验组B,Old,英国,月,12,12,0,2,121.13,0,0
20260718,iOS,实验组A,New,其他,年,2,1,1,1,27.46,0,0
20260720,iOS,实验组B,Old,巴西,分期年卡,21,21,0,0,32.78,0,0
20260722,iOS,实验组B,New,巴西,月,1,1,0,0,3.24,0,0
20260722,iOS,对照组,Old,巴西,年,46,10,36,15,108.32,0,0
20260723,iOS,实验组A,Old,澳大利亚,年,3,0,3,2,0.0,0,0
20260723,iOS,实验组B,New,其他,年,1,0,1,0,0.0,0,0
20260723,iOS,对照组,Old,澳大利亚,月,2,2,0,1,17.75,0,0
20260725,iOS,实验组A,Old,澳大利亚,分期年卡,2,2,0,0,8.88,0,0
20260725,iOS,实验组B,Old,澳大利亚,月,8,8,0,1,71.07,0,0
20260726,iOS,实验组B,Old,英国,年,7,4,3,0,108.76,0,0
20260718,iOS,实验组A,New,英国,月,2,2,0,1,20.39,0,0
20260718,iOS,实验组B,Old,澳大利亚,分期年卡,1,1,0,0,4.44,0,0
20260718,iOS,对照组,New,其他,年,3,0,3,2,0.0,0,0
20260719,iOS,实验组B,New,巴西,年,10,3,9,5,34.17,0,0
20260720,iOS,实验组A,New,巴西,年,16,4,12,9,43.12,0,0
20260722,iOS,实验组B,New,巴西,年,7,3,4,3,23.71,0,0
20260723,iOS,对照组,Old,澳大利亚,年,2,1,1,0,27.97,0,0
20260724,iOS,实验组B,Old,其他,年,3,0,3,0,0.0,0,0
20260725,iOS,实验组B,Old,澳大利亚,年,1,1,0,0,27.99,0,0
20260726,iOS,实验组B,New,英国,分期年卡,1,1,0,0,4.66,0,0
20260718,iOS,实验组A,New,澳大利亚,年,4,0,4,4,0.0,0,0
20260718,iOS,对照组,New,英国,月,1,1,0,1,10.19,0,0
20260720,iOS,对照组,New,巴西,年,16,3,13,9,34.24,0,0
20260723,iOS,实验组B,Old,巴西,分期年卡,20,20,0,0,31.24,0,0
20260724,iOS,实验组A,Old,英国,分期年卡,4,4,0,0,18.65,0,0
20260724,iOS,实验组B,Old,英国,月,4,4,0,1,40.44,0,0
20260717,iOS,实验组A,Old,巴西,月,3,3,0,0,9.62,0,0
20260718,iOS,实验组B,Old,巴西,年,18,14,5,4,130.64,0,0
20260724,iOS,实验组B,Old,澳大利亚,年,3,2,1,1,68.1,0,0
20260726,iOS,实验组A,Old,巴西,月,30,30,0,8,95.17,0,0
20260717,iOS,对照组,Old,巴西,月,3,3,0,0,9.62,0,0
20260720,iOS,实验组A,Old,巴西,周,1,1,0,0,1.55,0,0
20260721,iOS,实验组A,Old,其他,分期年卡,1,1,0,0,4.67,0,0
20260722,iOS,实验组A,Old,其他,月,2,2,0,0,20.26,0,0
20260722,iOS,实验组A,Old,英国,年,10,1,9,6,28.05,0,0
20260725,iOS,实验组A,Old,巴西,月,27,27,0,7,83.49,0,0
20260726,iOS,实验组A,Old,巴西,年,82,24,58,17,231.14,0,0
20260726,iOS,对照组,Old,巴西,月,35,35,0,3,111.26,0,0
20260719,iOS,实验组A,Old,其他,年,8,2,6,6,54.91,0,0
20260719,iOS,对照组,Old,其他,月,5,5,0,0,30.0,0,0
20260720,iOS,实验组B,Old,英国,分期年卡,9,9,0,0,42.21,0,0
