层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%
1.阿尔及利亚.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,1540.0,1066.0,1652.0,1233.0,918.0,737.0,1048.0,865.0,1154.0,2181.0,1374.0,1682.0,1818.0,1217.0,474.0,44.465291
1.阿尔及利亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,2718.0,2661.0,2753.0,2722.0,2642.0,2410.0,2941.0,3258.0,3259.0,4137.0,4059.0,4437.0,4266.0,4005.0,57.0,2.142052
1.阿尔巴尼亚,阿尔巴尼亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,15953.0,13625.0,12623.0,10388.0,9400.0,8072.0,9491.0,10133.0,9058.0,11122.0,10433.0,15365.0,12959.0,11234.0,2328.0,17.086239
1.阿尔巴尼亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,2681.0,2365.0,2683.0,1465.0,1216.0,974.0,1199.0,1329.0,1260.0,1103.0,659.0,1214.0,976.0,759.0,316.0,13.361522
1.阿尔巴尼亚.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,88.0,65.0,69.0,45.0,46.0,39.0,26.0,15.0,24.0,11.0,48.0,71.0,64.0,39.0,23.0,35.384615
1.阿尔巴尼亚.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,2593.0,2300.0,2614.0,1420.0,1170.0,935.0,1173.0,1314.0,1236.0,1092.0,611.0,1143.0,912.0,720.0,293.0,12.73913
1.阿尔巴尼亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,13272.0,11260.0,9940.0,8923.0,8184.0,7098.0,8292.0,8804.0,7798.0,10019.0,9774.0,14151.0,11983.0,10475.0,2012.0,17.868561
1.阿曼,阿曼MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,1711.0,1704.0,1872.0,1670.0,1958.0,1744.0,2030.0,2067.0,2143.0,2562.0,2037.0,2312.0,2198.0,2346.0,7.0,0.410798
1.阿曼.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,347.0,298.0,437.0,366.0,446.0,319.0,414.0,354.0,437.0,409.0,320.0,468.0,436.0,465.0,49.0,16.442953
1.阿曼.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,10.0,16.0,23.0,28.0,62.0,50.0,70.0,14.0,20.0,8.0,28.0,41.0,31.0,18.0,-6.0,-37.5
1.阿曼.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,337.0,282.0,414.0,338.0,384.0,269.0,344.0,340.0,417.0,401.0,292.0,427.0,405.0,447.0,55.0,19.503546
1.阿曼.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,1364.0,1406.0,1435.0,1304.0,1512.0,1425.0,1616.0,1713.0,1706.0,2153.0,1717.0,1844.0,1762.0,1881.0,-42.0,-2.987198
1.阿根廷,阿根廷MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,35188.0,34097.0,35920.0,36767.0,38826.0,39398.0,45393.0,44934.0,43156.0,59066.0,44964.0,47162.0,47150.0,45730.0,1091.0,3.199695
