层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.列支敦士登.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,175.0,59.0,78.0,49.0,49.0,47.0,46.0,42.0,40.0,36.0,46.0,30.0,,,116.0,196.610169,116.0,0.048188,0.002009
1.刚果共和国,刚果共和国MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,461.0,339.0,327.0,326.0,411.0,363.0,412.0,644.0,646.0,774.0,732.0,686.0,,,122.0,35.988201,122.0,0.050681,0.002113
1.刚果共和国.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,206.0,118.0,96.0,79.0,106.0,76.0,95.0,168.0,124.0,168.0,148.0,105.0,,,88.0,74.576271,88.0,0.036557,0.001524
1.刚果共和国.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,255.0,221.0,231.0,247.0,305.0,287.0,317.0,476.0,522.0,606.0,584.0,581.0,,,34.0,15.384615,34.0,0.014124,0.000589
1.刚果民主共和国,刚果民主共和国MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,2174.0,1962.0,1965.0,2008.0,2282.0,2257.0,2275.0,3087.0,2911.0,3204.0,3212.0,2965.0,,,212.0,10.805301,212.0,0.088068,0.003671
1.刚果民主共和国.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,695.0,445.0,368.0,378.0,397.0,327.0,363.0,557.0,513.0,618.0,668.0,446.0,,,250.0,56.179775,250.0,0.103854,0.004329
1.刚果民主共和国.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,1479.0,1517.0,1597.0,1630.0,1885.0,1930.0,1912.0,2530.0,2398.0,2586.0,2544.0,2519.0,,,-38.0,-2.504944,-38.0,-0.015786,-0.000658
1.利比亚,利比亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,1604.0,1572.0,1601.0,1526.0,1969.0,2113.0,2132.0,2644.0,2475.0,3096.0,3145.0,3618.0,,,32.0,2.035623,32.0,0.013293,0.000554
1.利比亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,417.0,362.0,293.0,217.0,331.0,304.0,292.0,450.0,301.0,584.0,462.0,385.0,,,55.0,15.19337,55.0,0.022848,0.000952
1.利比亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,1187.0,1210.0,1308.0,1309.0,1638.0,1809.0,1840.0,2194.0,2174.0,2512.0,2683.0,3233.0,,,-23.0,-1.900826,-23.0,-0.009555,-0.000398
1.利比里亚,利比里亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,4964.0,4936.0,5050.0,5088.0,5761.0,5753.0,5766.0,7539.0,7694.0,7499.0,7928.0,8166.0,,,28.0,0.567261,28.0,0.011632,0.000485
1.利比里亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1059.0,1019.0,976.0,926.0,1121.0,1090.0,964.0,1137.0,1305.0,1219.0,1246.0,1280.0,,,40.0,3.925417,40.0,0.016617,0.000693
1.利比里亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,3905.0,3917.0,4074.0,4162.0,4640.0,4663.0,4802.0,6402.0,6389.0,6280.0,6682.0,6886.0,,,-12.0,-0.306357,-12.0,-0.004985,-0.000208
1.加拿大,加拿大MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,116980.0,107810.0,109254.0,98580.0,106899.0,120789.0,113331.0,155072.0,121732.0,132720.0,132970.0,132478.0,,,9170.0,8.505704,9170.0,3.809373,0.158784
1.加拿大.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,21858.0,19358.0,21910.0,14622.0,16016.0,20845.0,14612.0,14700.0,6668.0,8473.0,8677.0,10001.0,,,2500.0,12.914557,2500.0,1.038542,0.043289
1.加拿大.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,95122.0,88452.0,87344.0,83958.0,90883.0,99944.0,98719.0,140372.0,115064.0,124247.0,124293.0,122477.0,,,6670.0,7.540813,6670.0,2.770831,0.115495
1.加纳,加纳MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,12959.0,7763.0,5030.0,4678.0,5386.0,5456.0,4855.0,6169.0,5350.0,5582.0,5558.0,5850.0,,,5196.0,66.932887,5196.0,2.158506,0.089972
