日期,平台,国家,订阅类型,订阅毛利（剔除退款，$）,新增毛利,续订毛利
2025-07-01,整体,乌兹别克斯坦,整体,528.9209999999999,343.61600000000004,201.17500000000007
2025-07-01,整体,乌干达,整体,231.70499999999998,99.651,132.054
2025-07-01,整体,乌拉圭,整体,1621.8129999999999,660.45,987.7729999999999
2025-07-01,整体,乍得,整体,42.7,42.7,0.0
2025-07-01,整体,也门,整体,0.0,,
2025-07-01,整体,亚美尼亚,整体,1067.3239999999998,585.9749999999999,526.2
2025-07-01,整体,以色列,整体,32717.090000000004,12289.300000000001,21349.281000000003
2025-07-01,整体,伊拉克,整体,148.646,98.55499999999999,66.891
2025-07-01,整体,伊朗,整体,0.0,,
2025-07-01,整体,伯利兹,整体,57.03,27.3,29.730000000000004
2025-07-01,整体,佛得角,整体,3.375,0.0,3.375
2025-07-01,整体,俄罗斯,整体,30820.281000000003,16017.821999999998,14959.984
2025-07-01,整体,保加利亚,整体,5603.094,2338.1820000000002,3472.4960000000005
2025-07-01,整体,克罗地亚,整体,16056.955000000002,6354.316999999998,10473.311000000002
2025-07-01,整体,关岛,整体,24.625999999999998,0.0,24.625999999999998
2025-07-01,整体,冈比亚,整体,76.175,40.475,35.7
2025-07-01,整体,冰岛,整体,1242.2700000000002,447.00500000000005,824.155
2025-07-01,整体,几内亚,整体,0.0,,
2025-07-01,整体,几内亚比绍,整体,0.0,,
2025-07-01,整体,列支敦士登,整体,0.0,,
2025-07-01,整体,刚果共和国,整体,0.0,0.0,0.0
2025-07-01,整体,刚果民主共和国,整体,52.75900000000001,22.917,29.842
2025-07-01,整体,利比亚,整体,1.7,0.85,0.85
2025-07-01,整体,利比里亚,整体,217.096,136.561,80.53500000000001
2025-07-01,整体,加拿大,整体,175922.466,80845.14399999999,111640.715
2025-07-01,整体,加纳,整体,617.103,381.39399999999995,244.448
2025-07-01,整体,加蓬,整体,28.777,16.387,12.39
2025-07-01,整体,匈牙利,整体,6595.228999999998,2476.943,4332.438
2025-07-01,整体,北马其顿,整体,2246.9979999999996,1212.999,1168.1860000000001
2025-07-01,整体,北马里亚纳群岛,整体,6.784,3.392,3.392
2025-07-01,整体,南极洲,整体,0.0,,
2025-07-01,整体,南苏丹,整体,0.0,,
2025-07-01,整体,南非,整体,12241.583,4734.741,8209.08
2025-07-01,整体,博茨瓦纳,整体,208.70399999999998,86.926,142.008
2025-07-01,整体,卡塔尔,整体,1658.8620000000003,620.723,1121.097
2025-07-01,整体,卢旺达,整体,21.131999999999998,8.4,12.732
2025-07-01,整体,卢森堡,整体,1164.063,456.49199999999996,707.571
2025-07-01,整体,印度,整体,34.975,21.227,13.748
2025-07-01,整体,印度尼西亚,整体,2046.0329999999997,1117.1470000000002,967.6650000000001
2025-07-01,整体,危地马拉,整体,2487.282,859.558,1721.2639999999997
2025-07-01,整体,厄瓜多尔,整体,5502.659000000001,2112.817,3500.166
2025-07-01,整体,叙利亚,整体,0.0,,
