渠道自然,国家,日期,平台,新老,MAU
整体,土库曼斯坦,2026-07-01,Android,整体,195.0
整体,法国,2026-07-01,整体,整体,75952.0
Organic,安提瓜和巴布达,2026-07-01,整体,整体,473.0
Organic,塞浦路斯,2026-07-01,iOS,整体,5304.0
non-Organic,基里巴斯,2026-05-01,整体,整体,1.0
non-Organic,阿尔及利亚,2025-08-01,整体,整体,761.0
non-Organic,斯威士兰,2025-08-01,iOS,整体,1.0
non-Organic,安提瓜和巴布达,2025-08-01,iOS,整体,32.0
Organic,津巴布韦,2025-08-01,Android,整体,609.0
non-Organic,索马里,2026-03-01,iOS,整体,51.0
non-Organic,基里巴斯,2026-03-01,iOS,整体,1.0
non-Organic,塞拉利昂,2026-04-01,iOS,整体,11.0
Organic,斯威士兰,2026-04-01,Android,整体,55.0
Organic,埃及,2026-04-01,iOS,整体,11519.0
整体,柬埔寨,2026-04-01,Android,整体,375.0
non-Organic,东帝汶,2026-01-01,Android,整体,8.0
non-Organic,叙利亚,2026-01-01,Android,整体,691.0
整体,圣卢西亚,2026-06-01,整体,整体,505.0
non-Organic,尼日利亚,2026-06-01,Android,整体,786.0
整体,叙利亚,2025-10-01,iOS,整体,971.0
整体,埃及,2025-06-01,Android,整体,26585.0
non-Organic,圣卢西亚,2025-06-01,Android,整体,19.0
Organic,塞拉利昂,2025-06-01,iOS,整体,316.0
non-Organic,亚美尼亚,2025-07-01,整体,整体,726.0
non-Organic,法国,2025-09-01,Android,整体,4394.0
整体,克罗地亚,2025-09-01,Android,整体,4458.0
整体,圣卢西亚,2025-12-01,iOS,整体,423.0
整体,乌拉圭,2025-12-01,Android,整体,1403.0
non-Organic,塞浦路斯,2025-12-01,iOS,整体,90.0
整体,也门,2025-11-01,iOS,整体,83.0
non-Organic,塞拉利昂,2025-11-01,整体,整体,72.0
non-Organic,圣多美和普林西比,2025-11-01,Android,整体,1.0
整体,基里巴斯,2026-02-01,Android,整体,1.0
整体,亚美尼亚,2026-02-01,整体,整体,4351.0
整体,圣多美和普林西比,2026-02-01,iOS,整体,16.0
non-Organic,索马里,2026-02-01,iOS,整体,27.0
整体,洪都拉斯,2026-02-01,整体,整体,3954.0
Organic,埃及,2026-07-01,Android,整体,9457.0
Organic,尼日利亚,2026-07-01,整体,整体,61875.0
non-Organic,塞拉利昂,2026-07-01,整体,整体,46.0
Organic,安道尔,2026-07-01,Android,整体,25.0
non-Organic,阿尔及利亚,2026-07-01,整体,整体,153.0
Organic,卢森堡,2026-07-01,Android,整体,209.0
Organic,芬兰,2025-08-01,整体,整体,7068.0
Organic,安道尔,2025-08-01,iOS,整体,180.0
non-Organic,阿联酋,2025-08-01,Android,整体,896.0
Organic,瑙鲁,2025-08-01,整体,整体,2.0
Organic,尼日利亚,2026-03-01,iOS,整体,26286.0
整体,阿联酋,2026-03-01,iOS,整体,12919.0
non-Organic,塞拉利昂,2026-04-01,整体,整体,57.0
Organic,乌拉圭,2026-04-01,整体,整体,3448.0
Organic,法国,2026-01-01,Android,整体,13213.0
Organic,也门,2026-01-01,整体,整体,675.0
整体,马拉维,2026-01-01,Android,整体,1078.0
整体,塞拉利昂,2026-06-01,整体,整体,870.0
Organic,马拉维,2026-06-01,整体,整体,918.0
Organic,索马里,2026-06-01,Android,整体,784.0
non-Organic,乌拉圭,2026-06-01,Android,整体,109.0
整体,亚美尼亚,2025-10-01,整体,整体,6865.0
整体,索马里,2025-10-01,整体,整体,2450.0
non-Organic,也门,2025-10-01,Android,整体,284.0
整体,法属圣马丁,2025-06-01,整体,整体,70.0
Organic,也门,2025-06-01,整体,整体,482.0
Organic,索马里,2025-06-01,整体,整体,2390.0
non-Organic,东帝汶,2025-06-01,iOS,整体,4.0
non-Organic,塞拉利昂,2025-06-01,iOS,整体,7.0
Organic,乌拉圭,2025-06-01,Android,整体,1142.0
non-Organic,津巴布韦,2025-06-01,整体,整体,227.0
Organic,法国,2025-06-01,Android,整体,12452.0
non-Organic,圣多美和普林西比,2025-06-01,Android,整体,9.0
整体,斯威士兰,2025-07-01,整体,整体,166.0
整体,叙利亚,2025-07-01,Android,整体,5018.0
整体,安道尔,2025-07-01,Android,整体,70.0
Organic,阿尔及利亚,2025-12-01,整体,整体,3964.0
Organic,马拉维,2025-12-01,Android,整体,991.0
整体,塞浦路斯,2025-09-01,iOS,整体,6549.0
non-Organic,阿联酋,2025-09-01,iOS,整体,1908.0
整体,东帝汶,2025-09-01,Android,整体,47.0
整体,斯威士兰,2025-11-01,iOS,整体,51.0
整体,亚美尼亚,2025-11-01,iOS,整体,3895.0
Organic,东帝汶,2026-02-01,整体,整体,42.0
整体,亚美尼亚,2026-07-01,iOS,整体,6020.0
整体,津巴布韦,2026-05-01,iOS,整体,499.0
non-Organic,津巴布韦,2026-05-01,iOS,整体,26.0
non-Organic,亚美尼亚,2026-05-01,Android,整体,164.0
整体,索马里,2025-08-01,整体,整体,2540.0
Organic,基里巴斯,2025-08-01,iOS,整体,5.0
整体,柬埔寨,2025-08-01,Android,整体,745.0
整体,瑙鲁,2025-08-01,iOS,整体,1.0
non-Organic,叙利亚,2025-08-01,整体,整体,2537.0
整体,乌拉圭,2026-03-01,整体,整体,3619.0
整体,圣卢西亚,2026-03-01,iOS,整体,450.0
Organic,也门,2026-04-01,Android,整体,498.0
Organic,芬兰,2026-04-01,整体,整体,14667.0
non-Organic,洪都拉斯,2026-04-01,Android,整体,241.0
Organic,法属圣马丁,2026-04-01,整体,整体,114.0
Organic,阿联酋,2026-04-01,iOS,整体,10947.0
整体,洪都拉斯,2026-01-01,整体,整体,4706.0
non-Organic,斯威士兰,2026-01-01,整体,整体,3.0
non-Organic,塞浦路斯,2026-06-01,iOS,整体,318.0
non-Organic,土库曼斯坦,2026-06-01,整体,整体,33.0
non-Organic,圣多美和普林西比,2025-10-01,Android,整体,5.0
整体,塞拉利昂,2025-10-01,iOS,整体,374.0
Organic,斯威士兰,2025-10-01,Android,整体,88.0
Organic,阿尔及利亚,2025-06-01,整体,整体,4652.0
non-Organic,克罗地亚,2025-06-01,Android,整体,366.0
Organic,塞浦路斯,2025-07-01,整体,整体,8101.0
Organic,津巴布韦,2025-09-01,Android,整体,546.0
non-Organic,埃及,2025-09-01,Android,整体,7766.0
non-Organic,芬兰,2025-11-01,整体,整体,373.0
non-Organic,乌拉圭,2026-02-01,iOS,整体,47.0
整体,斯威士兰,2026-02-01,整体,整体,104.0
non-Organic,克罗地亚,2026-07-01,整体,整体,692.0
整体,美属萨摩亚,2026-07-01,iOS,整体,3.0
整体,埃及,2026-07-01,整体,整体,25176.0
non-Organic,土库曼斯坦,2026-05-01,iOS,整体,5.0
整体,津巴布韦,2026-05-01,整体,整体,1043.0
non-Organic,也门,2026-05-01,整体,整体,190.0
Organic,克罗地亚,2026-05-01,Android,整体,3246.0
整体,亚美尼亚,2026-04-01,iOS,整体,3663.0
整体,津巴布韦,2026-03-01,iOS,整体,479.0
整体,索马里,2026-03-01,Android,整体,950.0
Organic,叙利亚,2026-03-01,整体,整体,3408.0
Organic,芬兰,2026-01-01,Android,整体,2536.0
non-Organic,亚美尼亚,2026-01-01,整体,整体,302.0
non-Organic,阿联酋,2026-01-01,整体,整体,1231.0
Organic,阿尔及利亚,2026-06-01,整体,整体,3622.0
non-Organic,洪都拉斯,2026-06-01,Android,整体,178.0
non-Organic,土库曼斯坦,2025-10-01,iOS,整体,26.0
Organic,芬兰,2025-10-01,整体,整体,10704.0
Organic,克罗地亚,2025-10-01,iOS,整体,11982.0
Organic,法国,2025-06-01,iOS,整体,42351.0
non-Organic,埃及,2025-06-01,Android,整体,10464.0
整体,圣卢西亚,2025-06-01,Android,整体,126.0
Organic,美属萨摩亚,2025-07-01,Android,整体,4.0
Organic,基里巴斯,2025-07-01,整体,整体,3.0
non-Organic,阿联酋,2025-09-01,Android,整体,845.0
non-Organic,索马里,2025-12-01,Android,整体,193.0
Organic,斯威士兰,2025-12-01,整体,整体,145.0
Organic,也门,2025-11-01,整体,整体,827.0
整体,马拉维,2025-11-01,整体,整体,1300.0
non-Organic,安提瓜和巴布达,2026-02-01,Android,整体,19.0
Organic,乌拉圭,2026-02-01,Android,整体,999.0
Organic,尼日利亚,2026-02-01,整体,整体,34321.0
整体,克罗地亚,2026-02-01,Android,整体,2786.0
Organic,基里巴斯,2026-07-01,整体,整体,2.0
Organic,圣多美和普林西比,2026-07-01,iOS,整体,19.0
整体,卢森堡,2026-07-01,Android,整体,219.0
Organic,也门,2026-05-01,Android,整体,631.0
