层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.1.巴哈马,巴哈马新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,206.767,176.831,349.8,163.276,160.918,203.908,369.732,285.302,327.2,510.29,403.732,499.12,119.395,318.054,29.936,16.929158,29.936,0.007308,0.000833
1.1.巴基斯坦,巴基斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,614.334,671.276,904.975,486.102,961.99,616.811,705.101,496.829,430.29,602.658,518.666,661.426,438.974,652.01,-56.942,-8.482651,-56.942,-0.013901,-0.001585
1.1.巴巴多斯,巴巴多斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,95.247,169.721,178.677,107.193,126.841,120.117,99.44,66.1,59.31,148.65,123.1,150.06,218.08,88.15,-74.474,-43.880251,-74.474,-0.018182,-0.002073
1.1.巴布亚新几内亚,巴布亚新几内亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,20.809,39.11,0.0,4.48,0.0,40.152,0.0,29.342,7.642,0.0,25.449,21.7,21.7,11.142,-18.301,-46.793659,-18.301,-0.004468,-0.000509
1.1.巴拉圭,巴拉圭新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1163.924,1055.497,1219.186,1011.855,1352.743,1161.678,858.696,609.984,702.493,663.006,765.042,693.086,715.413,487.646,108.427,10.272601,108.427,0.026471,0.003017
1.1.巴拿马,巴拿马新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,871.186,992.198,809.165,852.373,967.831,824.519,807.923,641.959,642.577,835.173,558.441,783.489,762.889,784.697,-121.012,-12.196356,-121.012,-0.029543,-0.003368
1.1.巴林,巴林新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,470.923,109.535,266.161,302.936,199.612,409.076,270.604,385.737,236.701,145.414,207.138,313.115,224.879,211.064,361.388,329.929246,361.388,0.088227,0.010057
1.1.巴西,巴西新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,255792.416,231012.178,236372.808,212271.058,296867.108,279906.991,252351.9,219675.76,227317.294,239001.59,233227.803,223933.019,237392.764,227914.6,24780.238,10.72681,24780.238,6.049684,0.689623
1.1.布基纳法索,布基纳法索新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,85.284,0.0,48.979,21.693,79.695,37.034,0.0,25.449,0.0,24.918,51.8,26.452,44.518,47.535,85.284,,85.284,0.020821,0.002373
1.1.布隆迪,布隆迪新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.布韦岛,布韦岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.希腊,希腊新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,6812.037,7190.865,5525.168,6126.284,8089.368,5912.581,5485.659,4571.277,6075.333,10774.77,7074.39,5994.209,5014.153,5258.276,-378.828,-5.268184,-378.828,-0.092485,-0.010543
1.1.帕劳,帕劳新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,0.0,0.0,0.0,16.8,0.0,21.7,0.0,0.0,8.33,8.33,8.33,29.342,8.33,0.0,,0.0,0.0,0.0
1.1.库克群岛,库克群岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
