enter_abtest_date,active_date,abcode,lcx,week_day,control_active0,control_activex,retention_rate
20260429,20260511,28907,12,1,2561,178,0.0695
20260429,20260512,28907,13,2,2561,144,0.0562
20260429,20260513,28907,14,3,2561,130,0.0508
20260429,20260514,28907,15,4,2561,135,0.0527
20260429,20260515,28907,16,5,2561,118,0.0461
20260429,20260516,28907,17,6,2561,110,0.043
20260429,20260517,28907,18,7,2561,106,0.0414
20260429,20260518,28907,19,1,2561,122,0.0476
20260430,20260501,28907,1,5,5539,877,0.1583
20260430,20260502,28907,2,6,5539,608,0.1098
20260430,20260503,28907,3,7,5539,474,0.0856
20260430,20260504,28907,4,1,5539,418,0.0755
20260430,20260505,28907,5,2,5539,344,0.0621
20260430,20260506,28907,6,3,5539,354,0.0639
20260430,20260507,28907,7,4,5539,313,0.0565
20260430,20260508,28907,8,5,5539,305,0.0551
20260430,20260509,28907,9,6,5539,299,0.054
20260430,20260510,28907,10,7,5539,351,0.0634
20260430,20260511,28907,11,1,5539,313,0.0565
20260430,20260512,28907,12,2,5539,251,0.0453
20260430,20260513,28907,13,3,5539,242,0.0437
20260430,20260514,28907,14,4,5539,232,0.0419
20260430,20260515,28907,15,5,5539,233,0.0421
20260430,20260516,28907,16,6,5539,225,0.0406
20260430,20260517,28907,17,7,5539,245,0.0442
20260430,20260518,28907,18,1,5539,240,0.0433
20260501,20260502,28907,1,6,7116,1045,0.1469
20260501,20260503,28907,2,7,7116,705,0.0991
20260501,20260504,28907,3,1,7116,535,0.0752
20260501,20260505,28907,4,2,7116,434,0.061
20260501,20260506,28907,5,3,7116,397,0.0558
20260501,20260507,28907,6,4,7116,369,0.0519
20260501,20260508,28907,7,5,7116,353,0.0496
20260501,20260509,28907,8,6,7116,354,0.0497
20260501,20260510,28907,9,7,7116,407,0.0572
20260501,20260511,28907,10,1,7116,339,0.0476
20260501,20260512,28907,11,2,7116,265,0.0372
20260501,20260513,28907,12,3,7116,262,0.0368
20260501,20260514,28907,13,4,7116,255,0.0358
20260501,20260515,28907,14,5,7116,262,0.0368
