result.date_p,result.platform,result.install_days_type,country_type,result.hist_sub_type,target_user_uv,day_paid_user_uv,day_revenue_usd,skin_tone_paid_user_uv,skin_tone_revenue_usd
20260729,Android,30天以上,美国,历史订阅过（含试用）,5,0,0.0,0,0.0
20260730,iOS,30天以上,墨西哥,历史订阅过（含试用）,16,0,0.0,0,0.0
20260730,iOS,30天内,英国,历史未订阅过,21,0,0.0,0,0.0
20260801,iOS,30天以上,巴西,历史订阅过（含试用）,316,8,20.13,4,8.9
20260801,iOS,30天内,加拿大,历史未订阅过,1,0,0.0,0,0.0
20260803,iOS,新用户,以色列,历史未订阅过,1,0,0.0,0,0.0
20260724,iOS,30天以上,美国,历史未订阅过,325,5,146.27,4,119.32
20260727,iOS,新用户,巴西,历史未订阅过,42,1,3.21,0,0.0
20260731,Android,30天内,美国,历史未订阅过,4,0,0.0,0,0.0
20260731,iOS,30天以上,乌克兰,历史订阅过（含试用）,6,0,0.0,0,0.0
20260731,iOS,30天以上,墨西哥,历史未订阅过,73,1,6.2,1,6.2
20260728,iOS,30天以上,墨西哥,历史订阅过（含试用）,26,0,0.0,0,0.0
20260730,iOS,30天以上,巴西,历史订阅过（含试用）,301,5,35.15,4,31.92
20260802,Android,30天以上,墨西哥,历史订阅过（含试用）,6,0,0.0,0,0.0
20260802,iOS,30天以上,巴西,历史订阅过（含试用）,436,9,42.52,6,34.5
20260804,iOS,30天内,其他,历史未订阅过,149,3,34.61,2,25.66
20260731,Android,30天以上,其他,历史未订阅过,332,0,0.0,0,0.0
20260731,Android,新用户,其他,历史未订阅过,10,0,0.0,0,0.0
20260801,Android,30天以上,西班牙,历史未订阅过,17,0,0.0,0,0.0
20260801,iOS,新用户,西班牙,历史未订阅过,5,0,0.0,0,0.0
20260802,iOS,30天内,墨西哥,历史未订阅过,10,0,0.0,0,0.0
20260803,Android,30天以上,美国,历史订阅过（含试用）,3,1,4.24,1,4.24
20260805,iOS,新用户,乌克兰,历史未订阅过,2,0,0.0,0,0.0
20260722,Android,新用户,墨西哥,历史未订阅过,3,0,0.0,0,0.0
20260725,Android,新用户,乌克兰,历史未订阅过,1,0,0.0,0,0.0
20260731,iOS,30天以上,以色列,历史未订阅过,25,0,0.0,0,0.0
20260803,Android,新用户,墨西哥,历史未订阅过,1,0,0.0,0,0.0
20260804,Android,30天以上,美国,历史未订阅过,16,1,4.24,1,4.24
20260805,iOS,新用户,其他,历史订阅过（含试用）,1,0,0.0,0,0.0
20260806,iOS,30天内,巴西,历史未订阅过,61,0,0.0,0,0.0
20260722,iOS,30天以上,墨西哥,历史订阅过（含试用）,14,0,0.0,0,0.0
20260727,Android,30天以上,英国,历史未订阅过,9,0,0.0,0,0.0
20260731,iOS,30天以上,西班牙,历史订阅过（含试用）,31,1,8.94,1,8.94
20260802,Android,30天以上,德国,历史未订阅过,8,0,0.0,0,0.0
20260806,iOS,30天以上,英国,历史订阅过（含试用）,122,1,10.2,1,10.2
20260729,Android,30天以上,墨西哥,历史订阅过（含试用）,4,0,0.0,0,0.0
20260729,iOS,30天以上,美国,历史未订阅过,335,10,195.58,5,92.02
20260801,iOS,30天以上,以色列,历史未订阅过,15,0,0.0,0,0.0
20260805,iOS,新用户,加拿大,历史未订阅过,3,0,0.0,0,0.0
20260722,iOS,新用户,美国,历史订阅过（含试用）,1,0,0.0,0,0.0
20260725,iOS,新用户,墨西哥,历史未订阅过,3,0,0.0,0,0.0
20260726,iOS,30天以上,澳大利亚,历史未订阅过,113,3,45.75,3,45.75
20260726,iOS,新用户,其他,历史未订阅过,71,0,0.0,0,0.0
20260728,Android,30天内,巴西,历史订阅过（含试用）,1,0,0.0,0,0.0
